timestamp_s,roll_deg,pitch_deg,yaw_deg
122.305348,-5.880153,-82.092542,-152.496145
122.315588,-5.411587,-81.968178,-151.904787
122.325702,-6.256723,-81.755356,-152.760186
122.335716,-8.165419,-81.688345,-154.721666
122.376701,-9.313387,-81.985158,-156.589463
122.397114,-8.152691,-81.720113,-155.624453
122.417594,-8.055302,-81.327240,-155.241949
122.458578,-7.540225,-80.803023,-154.421056
122.509611,-6.674177,-80.751462,-153.542407
122.580937,-4.464912,-80.967624,-150.948779
122.642401,-4.528851,-81.073703,-150.884261
122.683336,-4.684887,-81.451187,-151.422125
122.693576,-3.830483,-81.419652,-150.531140
122.703841,-2.973188,-81.274422,-149.431329
122.714060,-3.119922,-81.297419,-149.465235
122.724143,-3.392279,-81.262141,-149.862383
122.734308,-3.715045,-81.349711,-150.095429
122.744548,-3.402724,-81.303696,-149.687270
122.816177,-4.600296,-81.762453,-150.792600
122.846619,-3.808270,-81.870903,-150.009614
122.887549,-3.110556,-81.399715,-149.273388
122.948632,-3.526126,-81.278186,-149.712897
122.979402,-5.642081,-81.704144,-152.361713
123.030535,-2.572423,-80.954605,-148.436676
123.081517,-4.485115,-81.384518,-150.552095
123.091757,-4.432190,-81.537398,-150.480050
123.102022,-4.378501,-81.648867,-150.453536
123.122501,-5.143802,-81.597463,-151.158397
123.132741,-5.912432,-81.683127,-151.997309
123.142981,-6.051522,-81.518369,-152.189182
123.153164,-6.298173,-81.504811,-152.342930
123.193787,-3.418741,-81.410889,-149.183066
123.224507,-5.729952,-81.460907,-151.760451
123.275513,-5.334022,-81.785682,-151.240305
123.357039,-10.733674,-82.662166,-157.452376
123.418503,-13.219061,-82.543096,-160.494556
123.489965,-10.845231,-81.940243,-157.997275
123.500231,-11.204165,-81.982173,-158.389437
123.510446,-11.892950,-82.045243,-159.148407
123.530926,-12.006089,-81.931015,-159.425768
123.541166,-12.288595,-81.892377,-159.589364
123.571885,-12.897783,-81.861798,-160.419424
123.622522,-11.388514,-81.885089,-158.868930
123.673394,-12.848579,-81.719662,-160.810097
123.734568,-10.686547,-81.589540,-158.631936
123.785415,-7.903705,-81.303403,-155.392104
123.867318,-6.259076,-81.793879,-153.446757
123.887747,-7.441588,-81.785730,-154.506980
123.897987,-8.031902,-81.776721,-155.198728
123.908154,-8.692420,-81.906768,-155.852035
123.918074,-8.426949,-81.997247,-155.625901
123.928139,-8.321704,-82.258816,-155.646433
123.938379,-7.737599,-82.240300,-155.241266
123.948619,-7.253627,-82.272695,-154.756705
123.958682,-6.580885,-82.043495,-154.048018
123.999465,-6.326117,-82.020777,-154.058223
124.009705,-6.187953,-82.024671,-153.817609
124.060664,-5.592739,-81.676686,-153.129658
124.101271,-4.934239,-81.365434,-152.424960
124.162645,-4.792880,-81.161219,-152.589336
124.183125,-4.408384,-80.793372,-152.098109
124.254283,-2.923585,-79.786582,-150.005393
124.315682,-3.312908,-79.992915,-150.845302
124.325921,-3.315914,-79.932898,-150.723328
124.346401,-4.130812,-79.919442,-151.449336
124.356667,-3.637361,-79.859815,-151.055330
124.366882,-2.587657,-79.949147,-149.874062
124.397627,-2.525762,-79.937153,-149.768823
124.459043,-3.564610,-80.433284,-151.054059
124.489599,-4.951270,-80.838198,-152.826084
124.561328,-6.543600,-80.867240,-154.266093
124.612503,-7.672614,-81.387578,-155.891732
124.673781,-11.260280,-81.764051,-159.990174
124.704525,-10.188463,-81.620139,-159.103519
124.714589,-10.669296,-81.706841,-159.560090
124.724653,-11.003133,-81.755643,-160.110317
124.734893,-10.422314,-81.697682,-159.559052
124.755397,-10.184615,-81.656701,-159.351332
124.765637,-10.619874,-81.652658,-159.979901
124.806288,-9.614582,-81.287625,-158.969388
124.867199,-8.800232,-80.892731,-158.153618
124.938814,-6.449549,-80.434165,-155.797626
125.000084,-6.969955,-80.205634,-156.691151
125.071436,-5.036420,-80.236739,-155.128035
125.112355,-4.673838,-79.910297,-154.502226
125.122595,-4.014734,-79.943410,-153.797542
125.132860,-3.845356,-80.110374,-153.717464
125.143075,-3.790816,-80.066346,-153.762585
125.163580,-3.911669,-79.866297,-153.743201
125.173819,-3.806082,-79.812652,-153.726275
125.194300,-2.739605,-79.629494,-152.439167
125.204515,-2.447517,-79.738121,-152.017212
125.255552,-2.001019,-79.574982,-151.666427
125.316993,-1.457810,-79.523974,-151.007122
125.378264,-0.920663,-79.710077,-150.960786
125.429439,-1.369665,-79.378601,-151.644283
125.511056,-0.150960,-79.275451,-150.219233
125.531510,-0.930426,-79.038198,-150.830002
125.541750,-1.413052,-79.032112,-151.255168
